retiro,entrega,tamano,opcion_de_entrega,cantidad_de_paquetes,cantidad_de_asistentes,lat_retiro,lng_retiro,lat_entrega,lng_entrega,km,precio
"Arocena, Montevideo, Uruguay","Mantua, Montevideo, Uruguay",small,express,6,4,-34.8872037,-56.0578942,-34.8874709,-56.0509052,0.639573576,3010
"Arocena, Montevideo, Uruguay","Mantua, Montevideo, Uruguay",small,express,6,5,-34.8872037,-56.0578942,-34.8874709,-56.0509052,0.639573576,3620
"Arocena, Montevideo, Uruguay","Mantua, Montevideo, Uruguay",small,express,7,0,-34.8872037,-56.0578942,-34.8874709,-56.0509052,0.639573576,634
"Arocena, Montevideo, Uruguay","Mantua, Montevideo, Uruguay",small,express,7,1,-34.8872037,-56.0578942,-34.8874709,-56.0509052,0.639573576,1244
"Arocena, Montevideo, Uruguay","Mantua, Montevideo, Uruguay",small,express,7,2,-34.8872037,-56.0578942,-34.8874709,-56.0509052,0.639573576,1854
"Arocena, Montevideo, Uruguay","Mantua, Montevideo, Uruguay",small,express,7,3,-34.8872037,-56.0578942,-34.8874709,-56.0509052,0.639573576,2464
"Arocena, Montevideo, Uruguay","Mantua, Montevideo, Uruguay",small,express,7,4,-34.8872037,-56.0578942,-34.8874709,-56.0509052,0.639573576,3074
"Arocena, Montevideo, Uruguay","Mantua, Montevideo, Uruguay",small,express,7,5,-34.8872037,-56.0578942,-34.8874709,-56.0509052,0.639573576,3684
"Arocena, Montevideo, Uruguay","Mantua, Montevideo, Uruguay",small,express,8,0,-34.8872037,-56.0578942,-34.8874709,-56.0509052,0.639573576,698
"Arocena, Montevideo, Uruguay","Mantua, Montevideo, Uruguay",small,express,8,1,-34.8872037,-56.0578942,-34.8874709,-56.0509052,0.639573576,1308
"Arocena, Montevideo, Uruguay","Mantua, Montevideo, Uruguay",small,express,8,2,-34.8872037,-56.0578942,-34.8874709,-56.0509052,0.639573576,1918
"Arocena, Montevideo, Uruguay","Mantua, Montevideo, Uruguay",small,express,8,3,-34.8872037,-56.0578942,-34.8874709,-56.0509052,0.639573576,2528
